Country,density,land_area_m,agricultural_land,birth_rate,fertility_rate,life_expectancy,proportion_forested,population_m,urban_population_m,co2_emissions
Trinidad and Tobago,273.0,0.005128,0.105,12.94,1.73,73.4,0.46,1.394973,0.741944,43868.0
Tunisia,76.0,0.16361,0.648,17.56,2.2,76.5,0.068,11.694719,8.099061,29937.0
Turkey,110.0,0.783562,0.498,16.03,2.07,77.4,0.154,83.429615,63.097818,372725.0
Turkmenistan,13.0,0.4881,0.72,23.83,2.79,68.1,0.08800000000000001,5.942089,3.092738,70630.0
Uganda,229.0,0.241038,0.7190000000000001,38.14,4.96,63.0,0.09699999999999999,44.269594,10.784516,5680.0
Ukraine,75.0,0.60355,0.7170000000000001,8.7,1.3,71.6,0.16699999999999998,44.385155,30.835699,202250.0
United Arab Emirates,118.0,0.0836,0.055,10.33,1.41,77.8,0.046,9.770529,8.479744,206324.0
United Kingdom,281.0,0.24361,0.7170000000000001,11.0,1.68,81.3,0.131,66.834405,55.908316,379025.0
United States,36.0,9.833517,0.444,11.6,1.73,78.5,0.33899999999999997,328.239523,270.663028,5006302.0
Uruguay,20.0,0.176215,0.826,13.86,1.97,77.8,0.107,3.461734,3.303394,6766.0
Uzbekistan,79.0,0.4474,0.629,23.3,2.42,71.6,0.075,33.58065,16.935729,91811.0
Vanuatu,25.0,0.012189,0.153,29.6,3.78,70.3,0.361,0.299882,0.076152,147.0
Venezuela,32.0,0.91205,0.245,17.88,2.27,72.1,0.527,28.515829,25.162368,164175.0
Vietnam,314.0,0.33121,0.39299999999999996,16.75,2.05,75.3,0.48100000000000004,96.462106,35.33214,192668.0
Yemen,56.0,0.527968,0.446,30.45,3.79,66.1,0.01,29.161922,10.869523,10609.0
Zambia,25.0,0.752618,0.321,36.19,4.63,63.5,0.652,17.86103,7.871713,5141.0
Zimbabwe,38.0,0.390757,0.419,30.68,3.62,61.2,0.355,14.645468,4.717305,10983.0
